fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
1039,100000.0,214.0,0.0028144619427621365,6176000,0.9768741317093372,400.0,392.5,19300,415.0,2.154452085494995
1039,100000.0,223.0,0.0017505099531263113,6208000,0.9892813451588154,400.0,400.0,19400,241.0,2.1141343116760254
1039,100000.0,216.0,0.005392706487327814,6240000,0.9684435427188873,400.0,400.0,19500,234.0,1.914380431175232
1038,100000.0,210.0,0.0010193870402872562,6272000,0.9935831851325929,400.0,400.0,19600,387.0,2.0917155742645264
1038,100000.0,205.0,0.001211953698657453,6304000,0.9863476995378733,400.0,400.0,19700,407.0,2.0644853115081787
1037,100000.0,214.0,0.0014742393977940083,6336000,0.9902221644297242,400.0,400.0,19800,376.0,2.102168321609497
1037,100000.0,213.0,0.002045768778771162,6368000,0.9832881148904562,400.0,400.0,19900,154.0,2.095376491546631
1037,100000.0,215.0,0.0013562004314735532,6400000,0.9902326092123985,400.0,400.0,20000,314.0,2.1219441890716553
1036,100000.0,217.0,0.0011916268849745393,6432000,0.9897921057417989,400.0,400.0,20100,383.0,2.160651206970215
1036,100000.0,224.0,0.0011986212339252234,6464000,0.990290510468185,400.0,400.0,20200,286.0,2.1999168395996094
1036,100000.0,223.0,0.0019899546168744564,6496000,0.9853012254461646,400.0,400.0,20300,104.0,2.1490707397460938
1035,100000.0,223.0,0.0015782270347699523,6528000,0.9898276319727302,400.0,400.0,20400,304.0,2.0773329734802246
1035,100000.0,217.0,0.0010448957327753305,6560000,0.9874043157324195,400.0,400.0,20500,363.0,2.3572444915771484
1035,100000.0,212.0,0.0008179835276678205,6592000,0.9893251312896609,400.0,400.0,20600,334.0,2.308689594268799
1034,100000.0,216.0,0.00047343914047814906,6624000,0.9946488495916128,400.0,400.0,20700,371.0,2.409947395324707
1034,100000.0,214.0,0.001224913983605802,6656000,0.989945912733674,400.0,400.0,20800,335.0,2.2117695808410645
1034,100000.0,221.0,0.0008304193615913391,6688000,0.9931382983922958,400.0,400.0,20900,322.0,2.1401898860931396
1033,100000.0,211.0,0.0011166695039719343,6720000,0.9899697005748749,400.0,400.0,21000,365.0,2.1549081802368164
1033,100000.0,218.0,0.001403146656230092,6752000,0.9860432669520378,400.0,400.0,21100,301.0,2.176725387573242
1033,100000.0,207.0,0.0011688175145536661,6784000,0.9905030056834221,400.0,400.0,21200,427.0,2.3139545917510986
1032,100000.0,211.0,0.0006312672630883753,6816000,0.9925609775818884,400.0,400.0,21300,417.0,2.4170830249786377
1032,100000.0,205.0,0.0006134884315542877,6848000,0.9933599117211998,400.0,400.0,21400,311.0,2.4452595710754395
1032,100000.0,207.0,0.0016068227123469114,6880000,0.9892096566036344,400.0,400.0,21500,214.0,2.1490490436553955
1031,100000.0,206.0,0.0025410347152501345,6912000,0.9855676963925362,400.0,400.0,21600,384.0,2.1050832271575928
1031,100000.0,204.0,0.0023918915539979935,6944000,0.9855282213538885,400.0,400.0,21700,433.0,2.1738479137420654
1031,100000.0,208.0,0.0024874794762581587,6976000,0.9766997285187244,400.0,400.0,21800,389.0,2.0705068111419678
1031,100000.0,216.0,0.002377053489908576,7008000,0.9734348244965076,400.0,400.0,21900,432.0,2.206740379333496
1030,100000.0,216.0,0.0014799339696764946,7040000,0.9856991535052657,400.0,400.0,22000,296.0,2.2956972122192383
1030,100000.0,221.0,0.0010129197034984827,7072000,0.992293153423816,400.0,400.0,22100,363.0,2.0355570316314697
