total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
8028160,2125,0.0,0.0,0.0,980,2.6584072,0.0029617571,0.0,-0.006939726,125440,4177.652120351791,5.6366123e-05,0.03036499,0.0,0.0,-1.8810992240905762
8110080,2089,0.0,0.0,0.0,990,2.5431545,0.00423648,0.0,-0.0072362665,126720,4215.956125497818,3.5039142e-05,0.045288086,0.0,0.0,-3.3992667198181152
8192000,2185,0.0,0.0,0.0,1000,2.4936614,0.0035959051,0.0,-0.006124328,128000,4253.647401571274,3.7832102e-05,0.037078857,0.0,0.0,-2.6755380630493164
8273920,2206,0.0,0.0,-0.125,1010,2.5795014,0.0028431767,-0.45,-0.003249323,129280,4291.295056819916,0.0075096563,0.026153564,0.0,0.0,-0.005329608917236328
8355840,2122,0.0,0.0,0.0,1020,2.5837266,0.0031173674,0.0,-0.005612469,130560,4329.482205867767,4.3346565e-05,0.029937744,0.0,0.0,-2.3417208194732666
8437760,2281,0.0,0.0,0.0,1030,2.5648925,0.0027207201,0.0,-0.0053629284,131840,4367.051337718964,2.8965433e-05,0.023712158,0.0,0.0,-2.4509851932525635
8519680,2271,0.0,0.0,-0.05,1040,2.4573216,0.0040143477,-5.0,-0.005733559,133120,4404.446082830429,0.000119952674,0.050689697,0.0,0.0,0.2684953808784485
8601600,2200,0.0,0.0,-0.35,1050,2.3823807,0.0025166,-5.975,-0.004326255,134400,4440.694701194763,0.000117114745,0.023895264,0.0,0.0,-3.7886805534362793
8683520,2043,0.0,0.0,-0.325,1060,2.5612013,0.002703913,-1.15,-0.0055273715,135680,4478.393012523651,0.00012990195,0.03213501,0.0,0.0,-0.2910104990005493
8765440,2037,0.0,0.0,0.0,1070,2.6752298,0.0022576477,0.0,-0.004258707,136960,4516.740131616592,4.51284e-05,0.018829346,0.0,0.0,-4.075339317321777
8847360,2202,0.0,0.0,0.0,1080,2.7682252,0.0026404469,0.0,-0.0042987876,138240,4554.575854539871,8.708641e-05,0.026885986,0.0,0.0,0.08534979820251465
