episode_raw_reward,value_loss,sil_num_episodes,nupdates,policy_loss,policy_entropy,total_timesteps,episode_reward,serial_timesteps,time_elapsed,approxkl,explained_variance,clipfrac,sil_valid_samples,sil_steps,best_episode_reward,fps
400.0,8.561058e-05,115.0,44900,-0.007111987,2.0638473,367820800,2.0,5747200,189141.76874566078,0.0076291487,0.9992714038817212,0.017944336,512.0,50000.0,400.0,1837
390.0,6.47919e-05,111.0,44910,-0.005785708,2.0855503,367902720,1.95,5748480,189184.120595932,0.0035283947,0.999210512265563,0.015319824,512.0,50000.0,400.0,1913
400.0,0.0002681952,125.0,44920,-0.008910814,2.0910075,367984640,2.0,5749760,189226.82688236237,0.0022297087,0.9967784809414297,0.016326904,512.0,50000.0,400.0,1854
400.0,7.4260446e-05,113.0,44930,-0.006016911,2.0023026,368066560,2.0,5751040,189269.17309165,0.0021622248,0.9993300319765694,0.016815186,512.0,50000.0,400.0,1915
400.0,3.853048e-05,111.0,44940,-0.0053009638,2.172725,368148480,2.0,5752320,189311.58164811134,0.0038850852,0.99958941352088,0.01574707,512.0,50000.0,400.0,1895
400.0,3.6990547e-05,115.0,44950,-0.0065489374,1.9477112,368230400,2.0,5753600,189354.39801573753,0.003871818,0.9996806657291017,0.016815186,512.0,50000.0,400.0,1819
400.0,3.0192876e-05,116.0,44960,-0.006741263,2.1299348,368312320,2.0,5754880,189396.53891777992,0.0037247092,0.9997099841129966,0.016906738,512.0,50000.0,400.0,1855
400.0,3.2684955e-05,120.0,44970,-0.005893282,2.0392635,368394240,2.0,5756160,189439.24054336548,0.0064562885,0.9997023901669309,0.016967773,512.0,50000.0,400.0,1795
400.0,3.8754384e-05,112.0,44980,-0.004430279,2.1311498,368476160,2.0,5757440,189482.045484066,0.0015677216,0.9996462311828509,0.013244629,512.0,50000.0,400.0,1850
400.0,0.00050895155,110.0,44990,-0.009145092,2.1321292,368558080,2.0,5758720,189524.27591109276,0.0033752632,0.9952235510572791,0.018310547,512.0,50000.0,400.0,2014
400.0,5.1798404e-05,113.0,45000,-0.0062191496,2.1277878,368640000,2.0,5760000,189567.24603772163,0.0025966633,0.999463185085915,0.015655518,512.0,50000.0,400.0,1872
400.0,4.4370667e-05,119.0,45010,-0.0056851655,2.1265352,368721920,2.0,5761280,189609.69450449944,0.0025915345,0.999530768400291,0.01473999,512.0,50000.0,400.0,1936
400.0,3.5106976e-05,112.0,45020,-0.0074472395,2.1890023,368803840,2.0,5762560,189652.46231245995,0.0033775466,0.999641896749381,0.017181396,512.0,50000.0,400.0,1925
400.0,4.2274867e-05,122.0,45030,-0.0043174024,2.2200823,368885760,2.0,5763840,189694.92860507965,0.0018842316,0.9994353598449379,0.0121154785,512.0,50000.0,400.0,1911
400.0,6.914366e-05,118.0,45040,-0.0071117845,2.0332446,368967680,2.0,5765120,189737.5989086628,0.0020738295,0.9994538837927394,0.018920898,512.0,50000.0,400.0,1952
400.0,9.223414e-05,113.0,45050,-0.00851197,2.2277532,369049600,2.0,5766400,189779.92349934578,0.0034113685,0.9990506779286079,0.015106201,512.0,50000.0,400.0,1987
400.0,5.0254086e-05,117.0,45060,-0.006817634,1.9329798,369131520,2.0,5767680,189822.75384545326,0.003975216,0.9995816779555753,0.020324707,512.0,50000.0,400.0,1810
400.0,3.0321544e-05,122.0,45070,-0.005640782,2.217168,369213440,2.0,5768960,189865.34757447243,0.002230978,0.9996546061884146,0.016204834,512.0,50000.0,400.0,1886
400.0,2.8282167e-05,112.0,45080,-0.005316953,2.2501671,369295360,2.0,5770240,189907.67876076698,0.004314314,0.9997044496121816,0.01449585,512.0,50000.0,400.0,1952
400.0,4.4953053e-05,113.0,45090,-0.0056877434,2.1432352,369377280,2.0,5771520,189949.99362277985,0.0043363282,0.9995339780871291,0.015594482,512.0,50000.0,400.0,1921
400.0,4.3902382e-05,118.0,45100,-0.0068194,2.0519695,369459200,2.0,5772800,189992.59887957573,0.0026704508,0.9995625608426053,0.018554688,512.0,50000.0,400.0,1923
400.0,8.5465246e-05,114.0,45110,-0.005996664,1.9734745,369541120,2.0,5774080,190035.292750597,0.004955858,0.999270478845574,0.016845703,512.0,50000.0,400.0,1773
400.0,3.8923186e-05,112.0,45120,-0.0065411264,2.3130043,369623040,2.0,5775360,190077.39622473717,0.0040591084,0.9995499630167615,0.015106201,512.0,50000.0,400.0,1919
400.0,3.198035e-05,114.0,45130,-0.006160247,2.2136896,369704960,2.0,5776640,190119.6355817318,0.0022746515,0.9996618654404301,0.0140686035,512.0,50000.0,400.0,1971
390.0,5.8298676e-05,106.0,45140,-0.005696482,2.145284,369786880,1.95,5777920,190162.46791100502,0.0023323006,0.9994279415695928,0.012664795,512.0,50000.0,400.0,1868
400.0,4.4663393e-05,114.0,45150,-0.0052223755,2.0350034,369868800,2.0,5779200,190205.39035224915,0.0031204815,0.9995611229096539,0.015289307,512.0,50000.0,400.0,1940
400.0,4.727775e-05,116.0,45160,-0.006600605,2.1746924,369950720,2.0,5780480,190247.69858551025,0.0035504457,0.9995023460360244,0.017578125,512.0,50000.0,400.0,1901
400.0,9.27261e-05,118.0,45170,-0.008452024,2.2818696,370032640,2.0,5781760,190289.82172894478,0.0033352575,0.9989397299941629,0.019927979,512.0,50000.0,400.0,2019
