policy_entropy,value_loss,episode_reward,sil_num_episodes,sil_valid_samples,fps,total_timesteps,nupdates,sil_steps,explained_variance,best_episode_reward
0.5343911051750183,0.005754251964390278,0.0,2.0,512.0,1120,6112000,19100,3712.0,0.7234999239444733,100.0
1.878645658493042,0.004188149236142635,0.0,2.0,512.0,1119,6144000,19200,3712.0,0.6588881313800812,100.0
0.9420804977416992,0.0023304400965571404,0.0,2.0,512.0,1119,6176000,19300,3712.0,0.5977502167224884,100.0
0.2112884819507599,0.0010870869737118483,0.0,2.0,512.0,1118,6208000,19400,3712.0,-1.8391501903533936,100.0
1.4764039516448975,0.0038679272402077913,0.0,2.0,512.0,1118,6240000,19500,3712.0,0.6407754123210907,100.0
1.4167667627334595,0.004362640902400017,0.0,2.0,512.0,1118,6272000,19600,3712.0,0.43520694971084595,100.0
0.18392229080200195,0.00024379832029808313,0.0,2.0,512.0,1117,6304000,19700,3712.0,-0.21398401260375977,100.0
0.45982474088668823,0.0020238361321389675,0.0,2.0,512.0,1117,6336000,19800,3712.0,0.2973484396934509,100.0
0.45673832297325134,0.0035510617308318615,0.0,2.0,512.0,1116,6368000,19900,3712.0,0.4988709092140198,100.0
0.41148504614830017,0.0051674796268343925,0.0,2.0,512.0,1116,6400000,20000,3712.0,0.13348132371902466,100.0
1.513934850692749,0.0032226312905550003,0.0,2.0,512.0,1115,6432000,20100,3712.0,0.5861243903636932,100.0
1.33915114402771,0.004687657114118338,0.0,2.0,512.0,1115,6464000,20200,3712.0,0.13253188133239746,100.0
0.9275130033493042,0.004628466907888651,0.0,2.0,512.0,1115,6496000,20300,3712.0,0.6499611735343933,100.0
0.5724702477455139,0.000622811377979815,0.0,2.0,512.0,1114,6528000,20400,3712.0,0.39985185861587524,100.0
1.206965684890747,0.00037605094257742167,0.0,2.0,512.0,1114,6560000,20500,3712.0,0.48276615142822266,100.0
1.1191765069961548,0.007622672710567713,0.0,2.0,512.0,1114,6592000,20600,3712.0,0.8328175097703934,100.0
1.9622917175292969,0.0071578482165932655,0.0,2.0,512.0,1113,6624000,20700,3712.0,0.6417873203754425,100.0
0.15982010960578918,0.0025084977969527245,0.0,2.0,512.0,1113,6656000,20800,3712.0,0.381597638130188,100.0
1.1709628105163574,0.0005046831793151796,0.0,2.0,512.0,1113,6688000,20900,3712.0,0.3783201575279236,100.0
0.22552728652954102,0.0029389667324721813,0.0,2.0,512.0,1112,6720000,21000,3712.0,0.09073394536972046,100.0
1.7231794595718384,0.003159991931170225,0.0,2.0,512.0,1112,6752000,21100,3712.0,-0.2325652837753296,100.0
0.9569144248962402,0.014174443669617176,0.0,2.0,512.0,1112,6784000,21200,3712.0,-0.03971719741821289,100.0
0.4799140989780426,0.00874390173703432,0.0,3.0,512.0,1111,6816000,21300,5037.0,0.11256915330886841,100.0
0.6046169996261597,0.004784905817359686,0.0,3.0,512.0,1111,6848000,21400,5037.0,0.23196768760681152,100.0
0.9348438382148743,0.00048217171570286155,0.0,3.0,512.0,1111,6880000,21500,5037.0,-0.36801838874816895,100.0
1.0250484943389893,0.004689933732151985,0.0,3.0,512.0,1110,6912000,21600,5037.0,0.8190900087356567,100.0
0.8063868284225464,0.0016219920944422483,0.0,3.0,512.0,1110,6944000,21700,5037.0,0.08653491735458374,100.0
0.4824499189853668,0.0015761388931423426,0.0,3.0,512.0,1110,6976000,21800,5037.0,0.6014035642147064,100.0
0.0328575000166893,0.0014318214962258935,0.0,3.0,512.0,1109,7008000,21900,5037.0,0.7147546708583832,100.0
0.737517237663269,0.0014371660072356462,0.0,3.0,512.0,1109,7040000,22000,5037.0,0.8245091885328293,100.0
0.5351025462150574,0.0007518513011746109,0.0,3.0,512.0,1109,7072000,22100,5037.0,0.5666567981243134,100.0
0.6283720135688782,0.014915336854755878,0.0,3.0,512.0,1109,7104000,22200,5037.0,0.5936169028282166,100.0
0.37720590829849243,0.003631889121606946,0.0,3.0,512.0,1108,7136000,22300,5037.0,0.43918460607528687,100.0
0.7102274298667908,0.005771713797003031,0.0,3.0,512.0,1108,7168000,22400,5037.0,0.36349475383758545,100.0
0.5211372375488281,0.001452089985832572,0.0,3.0,512.0,1108,7200000,22500,5037.0,0.2414013147354126,100.0
0.7353283166885376,0.0032047387212514877,0.0,3.0,512.0,1108,7232000,22600,5037.0,0.830946296453476,100.0
0.21132680773735046,0.019891221076250076,0.0,3.0,512.0,1107,7264000,22700,5037.0,0.6188524067401886,100.0
0.5290614366531372,0.004370951093733311,0.0,3.0,512.0,1107,7296000,22800,5037.0,0.2645493745803833,100.0
0.8321784734725952,0.004751476459205151,0.0,3.0,512.0,1107,7328000,22900,5037.0,0.537663072347641,100.0
0.7273547053337097,0.0019188197329640388,0.0,3.0,512.0,1107,7360000,23000,5037.0,0.7667365819215775,100.0
0.40227943658828735,0.014487266540527344,0.0,3.0,512.0,1106,7392000,23100,5037.0,0.47992920875549316,100.0
0.6296743750572205,0.0026840721257030964,0.0,3.0,512.0,1106,7424000,23200,5037.0,0.6964735984802246,100.0
0.4016333222389221,0.0034733526408672333,0.0,3.0,512.0,1106,7456000,23300,5037.0,0.8684703707695007,100.0
