episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
-68.975,266800.59091115,75770,-1.3330821990966797,0.0,2.719475,0.0,9698560,0.000797685,0.004886543,-8.225,0.010864258,2383,-0.0048725894,0.0,0.0,620707840
-25.475,266834.55281209946,75780,0.1274462342262268,0.0,2.7101455,0.0,9699840,0.013208855,0.0021738168,-0.4,0.0068359375,2397,-0.0008132127,0.0,0.0,620789760
-46.275,266869.7680783272,75790,-0.00015628337860107422,0.0,2.7391222,0.0,9701120,0.589701,9.8724006e-05,-2.225,0.0010375977,2363,-8.010435e-05,0.0,0.0,620871680
-41.925,266904.0689048767,75800,-0.0009208917617797852,0.0,2.7631803,0.0,9702400,0.104549065,0.010739591,-7.35,0.0016174316,2388,-0.00013002439,0.0,0.0,620953600
-29.125,266937.89875268936,75810,-0.8465155363082886,0.0,2.710504,0.0,9703680,0.0012513502,0.00095604744,-3.85,0.008178711,2407,-0.0029796092,0.0,0.0,621035520
-13.85,266972.4342458248,75820,-0.01181495189666748,0.0,2.711235,0.0,9704960,0.0018654951,0.0016545773,-0.525,0.0039978027,2461,-0.000859454,0.0,0.0,621117440
-75.775,267006.92067432404,75830,0.3146660327911377,0.0,2.662387,0.0,9706240,0.02956765,0.008319019,-7.325,0.01626587,2356,-0.0026414532,0.0,0.0,621199360
-96.0,267041.18987870216,75840,0.010436058044433594,0.0,2.7349749,0.0,9707520,0.3212747,0.00055302406,-13.225,0.0029296875,2390,-0.0008383307,0.0,0.0,621281280
-29.05,267076.0746817589,75850,0.37918418645858765,0.0,2.6923616,0.0,9708800,0.05087016,0.0052117305,-4.125,0.01184082,2577,-0.003477741,0.0,0.0,621363200
-68.975,267110.3656692505,75860,-0.0020781755447387695,0.0,2.7875018,0.0,9710080,0.2835204,0.00021245077,-7.875,0.0011291504,2420,-0.00015151367,0.0,0.0,621445120
-58.625,267145.1859550476,75870,-0.4031471014022827,0.0,2.7427404,0.0,9711360,0.001728057,0.0026112588,-6.55,0.006072998,2341,-0.0029238914,0.0,0.0,621527040
-74.75,267179.84420728683,75880,-1.8928158283233643,0.0,2.7696147,0.0,9712640,0.002789718,0.0013459214,-5.275,0.0076293945,2332,-0.003853442,0.0,0.0,621608960
-60.9,267213.6845211983,75890,-0.007344603538513184,0.0,2.7134097,0.0,9713920,0.01714099,0.003454553,-10.75,0.011474609,2347,-0.005333009,0.0,0.0,621690880
-49.575,267249.02595353127,75900,-0.5474424362182617,0.0,2.7505822,0.0,9715200,0.002096538,0.0013588151,-3.55,0.011413574,2392,-0.0015612592,0.0,0.0,621772800
-20.75,267283.3110752106,75910,-1.780109167098999,0.0,2.7065,0.0,9716480,0.0013827214,0.0009859382,-0.425,0.008239746,2461,-0.004039348,0.0,0.0,621854720
-72.3,267317.5618247986,75920,-0.0018671751022338867,0.0,2.751896,0.0,9717760,0.16122845,0.00074225233,-5.625,0.0067443848,2434,-0.00011896908,0.0,0.0,621936640
-22.075,267353.11961102486,75930,-0.8541165590286255,0.0,2.7470605,0.0,9719040,0.002377999,0.0013159291,-2.1,0.009155273,2395,-0.004279431,0.0,0.0,622018560
-16.65,267386.7398109436,75940,-0.008208513259887695,0.0,2.7783544,0.0,9720320,0.020000167,0.00034965653,-0.65,0.0028381348,2386,-0.00042901532,0.0,0.0,622100480
