policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
1.8555468,139520,0.0,100.0,13.0,511.0,1913,0.00593805,9.0968837e-07,-1.5720725059509277,0.0,0.07879639,4279.29160451889,42709.0,-0.016686425,8929280,1090
1.8220379,140800,0.0,100.0,13.0,507.0,1874,0.005208108,1.0772228e-06,-1.4337399005889893,0.0,0.06600952,4323.311090230942,42709.0,-0.014638816,9011200,1100
1.6800307,142080,0.0,100.0,13.0,509.0,1899,0.0062098475,1.5413813e-06,-2.7358338832855225,0.0,0.07815552,4367.352173566818,42709.0,-0.014529753,9093120,1110
1.8038089,143360,0.0,100.0,13.0,508.0,2099,0.008273374,2.3241348e-06,-0.5109610557556152,0.0,0.10305786,4405.20036315918,42709.0,-0.018849406,9175040,1120
1.8836256,144640,0.0,100.0,13.0,510.0,2330,0.0057636024,4.04076e-06,-1.430689811706543,0.0,0.07736206,4441.4413068294525,42709.0,-0.011640286,9256960,1130
1.7160923,145920,0.0,100.0,13.0,507.0,2264,0.008087304,1.3481107e-05,-0.5236822366714478,0.0,0.10562134,4477.878395795822,42709.0,-0.01588677,9338880,1140
2.076089,147200,0.0,100.0,13.0,507.0,2199,0.0060200407,2.8318204e-06,-0.838233470916748,0.0,0.07696533,4514.063020944595,42709.0,-0.016274229,9420800,1150
2.1259413,148480,0.0,100.0,13.0,508.0,2316,0.0071241637,6.7239957e-06,-0.07687091827392578,0.0,0.09500122,4550.594960451126,42709.0,-0.016630227,9502720,1160
2.029622,149760,0.0,100.0,13.0,508.0,2221,0.0065037333,2.454183e-06,-0.3695087432861328,0.0,0.08477783,4586.862949132919,42709.0,-0.016876211,9584640,1170
1.9976449,151040,0.0,100.0,13.0,509.0,1895,0.0068815863,4.125947e-06,-2.5725483894348145,0.0,0.09472656,4625.75433754921,42709.0,-0.015274744,9666560,1180
2.0661755,152320,0.0,100.0,13.0,511.0,2209,0.0062836446,9.445626e-07,-0.7663440704345703,0.0,0.08001709,4666.511056900024,42709.0,-0.017129473,9748480,1190
1.9755048,153600,0.0,100.0,13.0,509.0,2279,0.0068550375,2.8625569e-05,-0.26634812355041504,0.0,0.091552734,4703.023804664612,42709.0,-0.017292703,9830400,1200
2.0798569,154880,0.0,100.0,13.0,508.0,2332,0.0064226273,5.832726e-07,-0.4708073139190674,0.0,0.0809021,4739.450181007385,42709.0,-0.018566228,9912320,1210
2.3334956,156160,0.0,100.0,13.0,510.0,2319,0.005309329,4.3627514e-07,0.5306268930435181,0.0,0.0519104,4774.918371677399,42709.0,-0.01647133,9994240,1220
